"yellow",*
"orange",*
"Dorada",*
5.384968,-74.777327
5.385738,-74.776382
5.387617,-74.775009
5.388472,-74.773207
5.390779,-74.771490
5.393001,-74.771748
5.394368,-74.771404
5.394283,-74.770288
5.393172,-74.769087
5.393257,-74.768400
5.392915,-74.763594
5.393770,-74.761276
5.394026,-74.760246
5.393855,-74.759474
5.390950,-74.759731
5.390181,-74.759731
5.387874,-74.757156
5.387703,-74.756641
5.388387,-74.755697
5.388557,-74.754496
5.388130,-74.754152
5.385524,-74.753895
5.384968,-74.753637
5.384456,-74.752564
5.384669,-74.752049
5.384840,-74.751449
5.385054,-74.750934
5.385609,-74.750633
5.386122,-74.750590
5.386763,-74.750762
5.387233,-74.751019
5.387532,-74.751534
5.387746,-74.752092
5.387831,-74.752693
5.387831,-74.753337
5.388387,-74.753594
5.388686,-74.753466
5.389070,-74.753423
5.389497,-74.753122
5.390053,-74.753036
5.390736,-74.753036
5.391249,-74.752951
5.391847,-74.752650
5.392275,-74.752264
5.392702,-74.751835
5.393001,-74.751320
5.393343,-74.750848
5.393727,-74.750376
5.394112,-74.749904
5.394368,-74.749732
5.394624,-74.749818
5.395180,-74.750032
5.395693,-74.750247
5.396120,-74.750247
5.396248,-74.750118
5.396248,-74.749475
5.396376,-74.748874
5.396803,-74.748445
5.397359,-74.748359
5.397914,-74.748316
5.398512,-74.748316
5.399196,-74.748187
5.399623,-74.747758
5.399922,-74.747329
5.400307,-74.746857
5.400563,-74.746342
5.400862,-74.745913
5.401204,-74.745355
5.401460,-74.744883
5.401674,-74.744282
5.402059,-74.743724
5.402614,-74.743638
5.403255,-74.743724
5.403597,-74.743767
5.404067,-74.744110
5.404665,-74.744411
5.405263,-74.744840
5.405818,-74.745140
5.406417,-74.744968
5.406886,-74.744925
5.407570,-74.744968
5.408125,-74.745011
5.408724,-74.744968
5.409279,-74.744925
5.410048,-74.744840
5.410561,-74.744883
5.411031,-74.744453
5.411159,-74.743938
5.411073,-74.743209
5.411073,-74.742651
5.411073,-74.742050
5.411287,-74.741492
5.411586,-74.741020
5.412056,-74.740720
5.412740,-74.740548
5.413210,-74.740548
5.413808,-74.740462
5.414320,-74.740162
5.414406,-74.739561
5.414363,-74.739003
5.414491,-74.738359
5.414449,-74.737759
5.414406,-74.737244
5.414278,-74.736943
5.414150,-74.736643
5.413594,-74.736514
5.413295,-74.736514
5.413167,-74.736557
5.412996,-74.736600
5.412740,-74.736729
5.412697,-74.736814
5.412569,-74.736986
5.412526,-74.737244
5.412483,-74.737372
5.412398,-74.737544
5.412312,-74.737802
5.412184,-74.737973
5.412056,-74.738102
5.411842,-74.738145
5.411714,-74.737802
5.411586,-74.737158
5.411586,-74.736729
5.411629,-74.736342
5.411586,-74.736085
5.411543,-74.735441
5.411629,-74.734883
5.411586,-74.734540
5.411757,-74.734025
5.412184,-74.733167
5.412569,-74.732738
5.412868,-74.732223
5.413381,-74.731793
5.413808,-74.731493
5.414449,-74.731278
5.415004,-74.731236
5.415602,-74.731450
5.415859,-74.731536
5.415944,-74.731793
5.416158,-74.732094
5.416286,-74.732394
5.416328,-74.732780
5.416542,-74.733338
5.416713,-74.733853
5.416841,-74.734154
5.416798,-74.734540
5.416756,-74.735055
5.416756,-74.735699
5.416670,-74.736257
5.416628,-74.736857
5.416628,-74.737415
5.416670,-74.737930
5.416756,-74.738016
5.416969,-74.738617
5.417268,-74.739132
5.417653,-74.739690
5.417909,-74.740033
5.418166,-74.740205
5.418721,-74.740591
5.418892,-74.740720
5.419106,-74.740849
5.419575,-74.740849
5.423207,-74.740891
5.423805,-74.740977
5.424275,-74.741278
5.424660,-74.741492
5.425087,-74.742608
5.425172,-74.742780
5.425130,-74.743853
5.425172,-74.744625
5.425172,-74.745183
5.425130,-74.745741
5.425386,-74.746299
5.425599,-74.746943
5.425813,-74.747415
5.425899,-74.747758
5.426838,-74.748101
5.427137,-74.748230
5.427565,-74.748144
5.427907,-74.748144
5.428120,-74.747972
5.428462,-74.747801
5.428761,-74.747715
5.429060,-74.747200
5.429231,-74.746857
5.429445,-74.746642
5.429615,-74.746728
5.429872,-74.746857
5.430043,-74.746857
5.430256,-74.746857
5.430470,-74.746814
5.430726,-74.746814
5.430940,-74.746900
5.431453,-74.746900
5.431623,-74.746943
5.432222,-74.746943
5.432392,-74.746900
5.432606,-74.746985
5.432862,-74.747028
5.432991,-74.747028
5.433161,-74.746985
5.433332,-74.746985
5.433460,-74.746943
5.433760,-74.746985
5.434016,-74.746985
5.434272,-74.746985
5.434379,-74.746996
5.434454,-74.746943
5.434529,-74.746889
5.434635,-74.746835
5.434731,-74.746825
5.434806,-74.746814
5.434934,-74.746878
5.434892,-74.746771
5.434998,-74.746664
5.435127,-74.746599
5.435180,-74.746535
5.435191,-74.746470
5.435233,-74.746395
5.435319,-74.746363
5.435426,-74.746342
5.435938,-74.746470
5.436707,-74.746814
5.437818,-74.746857
5.438502,-74.746771
5.439014,-74.746599
5.439655,-74.746642
5.440253,-74.746428
5.440766,-74.746428
5.440937,-74.746556
5.441450,-74.746857
5.441919,-74.747286
5.442389,-74.747586
5.442688,-74.747672
5.443073,-74.747114
5.443201,-74.746556
5.443201,-74.746256
5.443244,-74.745955
5.443287,-74.745483
5.443457,-74.745226
5.443842,-74.745183
5.444098,-74.745097
5.444355,-74.745140
5.444483,-74.745183
5.444825,-74.745269
5.445038,-74.745269
5.445337,-74.745526
5.445594,-74.745698
5.445679,-74.745741
5.445893,-74.745784
5.446063,-74.745784
5.446234,-74.745784
5.446448,-74.745784
5.446704,-74.745784
5.446832,-74.745698
5.447217,-74.745655
5.447388,-74.745655
5.447687,-74.745612
5.447901,-74.745483
5.448114,-74.745398
5.448242,-74.745097
5.448285,-74.744797
5.448499,-74.744582
5.448627,-74.744411
5.448755,-74.744153
5.448669,-74.743896
5.448584,-74.743724
